type,clip,start,end,role,text,image,notes
annotation,,4.2,7.2,D1,Deacon carries the Gospel,,
annotation,,7.4,10.4,D1,Asks the blessing for the entrance,,
,,,,,,,
chapter,,,,,"Little Entrance, Part 2",,
annotation,,1,4,D1,Presents the Gospel for veneration,,
annotation,,4.2,7.2,D1,"""Wisdom, let us attend""",,
annotation,,7.4,10.4,,"Entrance hymn: clergy first, then choir",,
,,,,,,,
chapter,,,,,Note: Removal of the Trikirion and Dikirion,,
annotation,,1,4,,Note: how the trikirion and dikirion are taken,,
,,,,,,,
chapter,,,,,"Censing by the Hierarch, Led by the Deacon",,
annotation,,1,4,,Bishop censes holding the trikirion,,
annotation,,4.2,7.2,,A deacon leads him with the dikirion,,
annotation,,7.4,10.4,,"Bow to the high place, bow to the bishop, switch candles",,
,,,,,,,
chapter,,,,,"Troparia, Kontakia, Save the Pious, Trisagion",,
annotation,,1,4,,Troparia and kontakia,,
annotation,,4.2,7.2,D1,"""O Lord, save those who fear Thee"" — choir repeats",,
annotation,,7.4,10.4,,Subdeacons light the candles at the high place,,
annotation,,10.6,13.6,,Dikirion passes through the deacon to the hierarch,,
annotation,,13.8,16.8,,Bishop holds dikirion and cross together,,
,,,,,,,
chapter,,,,,Conclusion of the Trisagion; Blessing of the Epistle Book,,
annotation,,1,4,,"Dikirion to the high place, trikirion to the clergy",,
annotation,,4.2,7.2,,Reader receives the blessing to read,,
,,,,,,,
chapter,,,,,Lesser Censing; the Epistle,,
annotation,,1,4,,Great omophorion removed for the reading,,
annotation,,4.2,7.2,D2,"""Let us attend"" / ""Wisdom""",,
annotation,,7.4,10.4,D1,Brings the incense to the bishop before censing,,
,,,,,,,
chapter,,,,,Alleluia; the Gospel Book Goes Out,,
annotation,,1,4,,Trikirion and dikirion lit for the Gospel,,
annotation,,4.2,7.2,,Gospel book goes out,,
,,,,,,,
chapter,,,,,Reading of the Gospel,,
annotation,,7.4,10.4,D2,"""Wisdom. Aright. Let us hear the holy Gospel.""",,
annotation,,1,4,D1,Reads the Gospel,,
,,,,,,,
chapter,,,,,The Gospel is Returned to the Altar,,
annotation,,4.21,7.21,,Blessing with dikirion and trikirion follows,,
annotation,,7.41,10.41,,Second of five Eis polla blessings,,
,,,,,,,
chapter,,,,,Augmented Litany Begins,,
annotation,,1,4,D2,Augmented Litany,,
,,,,,,,
chapter,,,,,Augmented Litany through the Censing before the Great Entrance,,
annotation,,1,4,,Four extra litanies when a deacon serves — pp. 50-51,,
annotation,,4.2,7.2,D1,Censing begins inside the sanctuary,,
annotation,,7.4,10.4,,"Handwashing outside the altar, before the Royal Doors",,
annotation,,10.6,13.6,,Small omophorion on as the bishop re-enters,,
,,,,,,,
chapter,,,,,Clergy Kiss the Hierarch's Shoulder,,
annotation,,1,4,,"Clergy kiss the hierarch's shoulder, in rank",,
,,,,,,,
chapter,,,,,The Second Deacon Kisses the Hierarch's Shoulder,,
annotation,,1,4,D2,The second deacon goes last,,
,,,,,,,
chapter,,,,,The Hierarch Makes the Commemorations,,
annotation,,1,4,,Bishop censes the gifts,,
annotation,,4.2,7.2,D1,Aer goes on the deacon's shoulder,,
annotation,,7.4,10.4,D1,Deacon finishes the censing; commemorated last,,
,,,,,,,
chapter,,,,,Covering the Gifts; the Great Entrance,,
annotation,,1,4,,Mitre and small omophorion on the tray — out first,,
annotation,,4.2,7.2,,Bishop censes diskos and chalice before receiving them,,
annotation,,7.4,10.4,D1,"Carries the diskos, commemorating the hierarch",,
annotation,,10.6,13.6,,Priest carries the chalice,,
,,,,,,,
chapter,,,,,Conclusion of the Great Entrance,,
annotation,,1,4,,Mitre back on; blessing with trikirion and dikirion,,
annotation,,4.2,7.2,,Third Eis polla,,
,,,,,,,
chapter,,,,,Litany of Supplication; the Creed,,
annotation,,1,4,D2,Litany of Supplication,,
annotation,,4.2,7.2,,Light the candles during the Creed — blessing follows,,
,,,,,,,
chapter,,,,,"The Anaphora, Part 1",,
annotation,,1,4,,The Anaphora begins,,
,,,,,,,
chapter,,,,,"The Anaphora, Part 2",,
annotation,,1,4,,"At ""Holy, holy, holy"": small omophorion on, mitre off",,
,,,,,,,
chapter,,,,,"The Anaphora, Part 3",,
annotation,,1,4,,"After ""Amen. Amen. Amen."": omophorion off, mitre on",,
,,,,,,,
chapter,,,,,"The Anaphora, Part 4",,
annotation,,1,4,D1,"Deacon exits through the Royal Doors: ""And all mankind""",,
annotation,,4.2,7.2,D1,"Begin on the ambo, facing the people",,
annotation,,7.4,10.4,D1,Into the altar — point to the holy gifts,,
annotation,,10.6,13.6,D1,To the high place: bow. Then bow to the hierarch.,,
annotation,,13.8,16.8,D1,"Back to the ambo to finish, facing the people",,
,,,,,,,
chapter,,,,,"The Anaphora, Part 5; Litany before the Lord's Prayer",,
annotation,,1,4,D2,Litany before the Lord's Prayer,,
annotation,,4.2,7.2,,"Omophorion on after ""Peace be unto all""",,
annotation,,7.4,10.4,,Mitre off before the Our Father,,
,,,,,,,
chapter,,,,,After Communion; Transfer of the Gifts,,
annotation,,1,4,,"""O God, save Thy people"" — fourth Eis polla",,
annotation,,1,4,D1,Deacon takes diskos and censer; priest the chalice,,
,,,,,,,
chapter,,,,,Litany of Thanksgiving,,
annotation,,1,4,D2,Litany of Thanksgiving,,
,,,,,,,
chapter,,,,,Final Blessing; Many Years,,
annotation,,1,4,,Prayer before the Ambo is read by a priest,,
annotation,,4.2,7.2,,"Dismissal, then the fifth and last Eis polla",,
,,,,,,,
chapter,,,,,Conclusion,,
